host,ip,port,protocol,title,domain,country,city,link,org
https://192.18.138.207,192.18.138.207,443,https,403 Forbidden,,US,San Jose,https://192.18.138.207,Oracle Corporation
https://155.248.202.141,155.248.202.141,443,https,403 Forbidden,,US,San Jose,https://155.248.202.141,Oracle Corporation
64.181.255.215:443,64.181.255.215,443,http,,,US,Belmont,http://64.181.255.215:443,Oracle Corporation
40.233.110.251:443,40.233.110.251,443,http,,,US,Belmont,http://40.233.110.251:443,Oracle Corporation
168.107.0.159:443,168.107.0.159,443,http,,,US,Belmont,http://168.107.0.159:443,Oracle Corporation
https://140.245.86.105,140.245.86.105,443,https,403 Forbidden,,US,Belmont,https://140.245.86.105,Oracle Corporation
https://129.153.77.227,129.153.77.227,443,https,403 Forbidden,,US,Phoenix,https://129.153.77.227,Oracle Corporation
161.33.190.243:443,161.33.190.243,443,http,,,US,Mobile,http://161.33.190.243:443,Oracle Corporation
https://132.145.165.127,132.145.165.127,443,https,403 Forbidden,,US,Ashburn,https://132.145.165.127,Oracle Corporation
150.136.219.11:443,150.136.219.11,443,http,,,US,Ashburn,http://150.136.219.11:443,Oracle Corporation
https://129.80.47.196,129.80.47.196,443,https,403 Forbidden,,US,Ashburn,https://129.80.47.196,Oracle Corporation
https://168.107.3.252,168.107.3.252,443,https,403 Forbidden,,US,Belmont,https://168.107.3.252,Oracle Corporation
https://152.70.148.62,152.70.148.62,443,https,403 Forbidden,,US,Phoenix,https://152.70.148.62,Oracle Corporation
https://192.9.131.123,192.9.131.123,443,https,403 Forbidden,,US,San Jose,https://192.9.131.123,Oracle Corporation
https://151.145.65.169,151.145.65.169,443,https,403 Forbidden,,US,Belmont,https://151.145.65.169,Oracle Corporation
https://129.146.2.46,129.146.2.46,443,https,403 Forbidden,,US,Phoenix,https://129.146.2.46,Oracle Corporation
161.33.142.179:443,161.33.142.179,443,http,,,US,Mobile,http://161.33.142.179:443,Oracle Corporation
40.233.99.248:443,40.233.99.248,443,http,,,US,Belmont,http://40.233.99.248:443,Oracle Corporation
140.245.43.3:443,140.245.43.3,443,http,,,US,Belmont,http://140.245.43.3:443,Oracle Corporation
150.136.243.175:443,150.136.243.175,443,http,,,US,Ashburn,http://150.136.243.175:443,Oracle Corporation
https://40.233.107.182,40.233.107.182,443,https,403 Forbidden,,US,Belmont,https://40.233.107.182,Oracle Corporation
158.101.30.153:443,158.101.30.153,443,http,,,US,Phoenix,http://158.101.30.153:443,Oracle Corporation
168.107.18.146:443,168.107.18.146,443,http,,,US,Belmont,http://168.107.18.146:443,Oracle Corporation
https://146.235.213.158,146.235.213.158,443,https,403 Forbidden,,US,San Jose,https://146.235.213.158,Oracle Corporation
https://146.235.225.206,146.235.225.206,443,https,403 Forbidden,,US,San Jose,https://146.235.225.206,Oracle Corporation
143.47.96.200:443,143.47.96.200,443,http,,,US,Ashburn,http://143.47.96.200:443,Oracle Corporation
https://129.153.204.9,129.153.204.9,443,https,403 Forbidden,,US,Phoenix,https://129.153.204.9,Oracle Corporation
https://129.213.54.81,129.213.54.81,443,https,403 Forbidden,,US,Ashburn,https://129.213.54.81,Oracle Corporation
168.107.62.234:443,168.107.62.234,443,http,,,US,Belmont,http://168.107.62.234:443,Oracle Corporation
129.159.34.196:443,129.159.34.196,443,http,,,US,San Jose,http://129.159.34.196:443,Oracle Corporation
https://129.146.20.44,129.146.20.44,443,https,403 Forbidden,,US,Phoenix,https://129.146.20.44,Oracle Corporation
147.224.251.54:443,147.224.251.54,443,http,,,US,Belmont,http://147.224.251.54:443,Oracle Corporation
https://129.146.24.229,129.146.24.229,443,https,403 Forbidden,,US,Phoenix,https://129.146.24.229,Oracle Corporation
129.146.127.77:443,129.146.127.77,443,http,,,US,Phoenix,http://129.146.127.77:443,Oracle Corporation
https://161.33.198.198,161.33.198.198,443,https,403 Forbidden,,US,Mobile,https://161.33.198.198,Oracle Corporation
134.185.99.132:443,134.185.99.132,443,http,,,US,Belmont,http://134.185.99.132:443,Oracle Corporation
https://141.148.181.106,141.148.181.106,443,https,403 Forbidden,,US,Phoenix,https://141.148.181.106,Oracle Corporation
https://192.9.149.155,192.9.149.155,443,https,403 Forbidden,,US,San Jose,https://192.9.149.155,Oracle Corporation
https://163.192.7.69,163.192.7.69,443,https,403 Forbidden,,US,Belmont,https://163.192.7.69,Oracle Corporation
161.33.207.116:443,161.33.207.116,443,http,,,US,Mobile,http://161.33.207.116:443,Oracle Corporation
129.146.46.164:443,129.146.46.164,443,http,,,US,Phoenix,http://129.146.46.164:443,Oracle Corporation
129.146.138.164:443,129.146.138.164,443,http,,,US,Phoenix,http://129.146.138.164:443,Oracle Corporation
https://161.33.38.253,161.33.38.253,443,https,403 Forbidden,,US,Mobile,https://161.33.38.253,Oracle Corporation
161.33.223.124:443,161.33.223.124,443,http,,,US,Mobile,http://161.33.223.124:443,Oracle Corporation
https://129.146.9.224,129.146.9.224,443,https,403 Forbidden,,US,Phoenix,https://129.146.9.224,Oracle Corporation
168.107.46.112:443,168.107.46.112,443,http,,,US,Belmont,http://168.107.46.112:443,Oracle Corporation
https://161.33.177.62,161.33.177.62,443,https,403 Forbidden,,US,Mobile,https://161.33.177.62,Oracle Corporation
129.153.208.95:443,129.153.208.95,443,http,,,US,Phoenix,http://129.153.208.95:443,Oracle Corporation
https://192.9.141.240:4443,192.9.141.240,4443,https,403 Forbidden,,US,San Jose,https://192.9.141.240:4443,Oracle Corporation
129.153.70.168:4433,129.153.70.168,4433,http,,,US,Phoenix,http://129.153.70.168:4433,Oracle Corporation
https://146.235.228.185:2087,146.235.228.185,2087,https,403 Forbidden,,US,San Jose,https://146.235.228.185:2087,Oracle Corporation
https://fq.armalv.com,150.230.39.166,443,https,,armalv.com,US,San Jose,https://fq.armalv.com,Oracle Corporation
https://168.107.1.104:4433,168.107.1.104,4433,https,403 Forbidden,,US,Belmont,https://168.107.1.104:4433,Oracle Corporation
https://158.179.195.204:10003,158.179.195.204,10003,https,403 Forbidden,,US,Redwood,https://158.179.195.204:10003,Oracle Corporation
167.126.31.134:3000,167.126.31.134,3000,http,Suspected phishing site | Cloudflare,,US,Belmont,http://167.126.31.134:3000,Oracle Corporation
152.70.123.82:55555,152.70.123.82,55555,http,,,US,San Jose,http://152.70.123.82:55555,Oracle Corporation
https://158.179.177.79:2096,158.179.177.79,2096,https,403 Forbidden,,US,Redwood,https://158.179.177.79:2096,Oracle Corporation
https://130.110.250.30:2087,130.110.250.30,2087,https,403 Forbidden,,US,Windsor,https://130.110.250.30:2087,Oracle Corporation
134.185.111.151:3000,134.185.111.151,3000,http,KHUSAN,,US,Belmont,http://134.185.111.151:3000,Oracle Corporation
140.245.62.90:2096,140.245.62.90,2096,http,,,US,Belmont,http://140.245.62.90:2096,Oracle Corporation
144.33.29.56:3000,144.33.29.56,3000,http,Suspected phishing site | Cloudflare,,US,Belmont,http://144.33.29.56:3000,Oracle Corporation
129.213.126.80:4443,129.213.126.80,4443,http,,,US,Ashburn,http://129.213.126.80:4443,Oracle Corporation
https://140.245.53.5:53,140.245.53.5,53,https,403 Forbidden,,US,Belmont,https://140.245.53.5:53,Oracle Corporation
143.47.106.36:4443,143.47.106.36,4443,http,,,US,Ashburn,http://143.47.106.36:4443,Oracle Corporation
https://146.235.226.118:2096,146.235.226.118,2096,https,403 Forbidden,,US,San Jose,https://146.235.226.118:2096,Oracle Corporation
150.136.61.82:8443,150.136.61.82,8443,http,,,US,Ashburn,http://150.136.61.82:8443,Oracle Corporation
https://64.181.225.235:8443,64.181.225.235,8443,https,403 Forbidden,,US,Belmont,https://64.181.225.235:8443,Oracle Corporation
https://169.224.229.234:8443,169.224.229.234,8443,https,403 Forbidden,,US,Leawood,https://169.224.229.234:8443,Oracle Corporation
https://163.192.195.247:8443,163.192.195.247,8443,https,403 Forbidden,,US,Belmont,https://163.192.195.247:8443,Oracle Corporation
129.146.44.48:8443,129.146.44.48,8443,http,,,US,Phoenix,http://129.146.44.48:8443,Oracle Corporation
https://134.185.110.40:8443,134.185.110.40,8443,https,403 Forbidden,,US,Belmont,https://134.185.110.40:8443,Oracle Corporation
140.245.38.40:2096,140.245.38.40,2096,http,,,US,Belmont,http://140.245.38.40:2096,Oracle Corporation
129.158.241.2:8443,129.158.241.2,8443,http,,,US,Ashburn,http://129.158.241.2:8443,Oracle Corporation
https://64.181.235.226:8443,64.181.235.226,8443,https,403 Forbidden,,US,Belmont,https://64.181.235.226:8443,Oracle Corporation
https://152.67.225.124:2096,152.67.225.124,2096,https,403 Forbidden,,US,San Jose,https://152.67.225.124:2096,Oracle Corporation
